"filename", "language", "JavaScript", "JavaScript React", "CSS", "XML", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_1.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\maturski\foodsprint_frontend\src\components\componentsHero\slike\undraw_3.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\maturski\foodsprint_frontend\src\components\componentsMain\AsideMain.jsx", "JavaScript React", 0, 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"d:\maturski\foodsprint_frontend\src\components\componentsMain\CarouselMain.jsx", "JavaScript React", 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\maturski\foodsprint_frontend\src\components\componentsMain\CartItem.jsx", "JavaScript React", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\maturski\foodsprint_frontend\src\components\componentsMain\FoodSprintLogoMain.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\maturski\foodsprint_frontend\src\components\componentsMain\GlavnoMain.jsx", "JavaScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\maturski\foodsprint_frontend\src\components\componentsMain\KosturMain.jsx", "JavaScript React", 0, 95, 0, 0, 0, 0, 0, 0, 0, 6, 101
"d:\maturski\foodsprint_frontend\src\components\componentsMain\MainSearch.jsx", "JavaScript React", 0, 115, 0, 0, 0, 0, 0, 0, 3, 4, 122
"d:\maturski\foodsprint_frontend\src\components\componentsMain\NavigacijaMain.jsx", "JavaScript React", 0, 247, 0, 0, 0, 0, 0, 0, 0, 21, 268
